segment_index,start_sec,end_sec,predicted_symbol,distance,confidence,top1,top2,top3
0,0.618,1.006,+,0.233516,0.232989,+:0.233516,7:0.304449,5:0.310146
1,1.616,2.144,7,0.168379,0.316547,7:0.168379,5:0.246366,9:0.276643
2,2.837,3.406,4,0.163877,0.479694,4:0.163877,1:0.314962,7:0.318620
3,3.913,4.480,9,0.235295,0.049627,9:0.235295,5:0.247582,7:0.259776
4,5.236,5.563,5,0.176412,0.273483,5:0.176412,2:0.242819,6:0.275198
5,6.288,6.752,7,0.172105,0.260064,7:0.172105,5:0.232594,9:0.263645
6,7.513,8.094,8,0.218428,0.408055,8:0.218428,0:0.369000,3:0.391968
7,8.694,9.286,8,0.206050,0.456984,8:0.206050,3:0.379454,1:0.392331
8,10.107,10.443,5,0.147171,0.300234,5:0.147171,2:0.210315,9:0.256057
9,11.161,11.581,6,0.263302,0.078293,6:0.263302,5:0.285668,2:0.302638
10,12.371,12.863,7,0.243658,0.079983,7:0.243658,9:0.264840,5:0.309621
11,13.471,14.004,9,0.230207,0.125511,9:0.230207,7:0.263247,+:0.329565
