char;char_code;width;height;q1_weight;q2_weight;q3_weight;q4_weight;q1_rel;q2_rel;q3_rel;q4_rel;cx;cy;cx_rel;cy_rel;Ix;Iy;Ix_norm;Iy_norm
අ;3461;95;139;1235.000000;1225.000000;527.000000;829.000000;0.380820;0.377737;0.162504;0.255628;46.940514;51.799528;0.494111;0.372658;4045981.639151;2689725.496593;306.397701;203.689928
ආ;3462;156;139;2087.000000;1572.000000;1224.000000;750.000000;0.387774;0.292085;0.227425;0.139353;75.030179;51.800284;0.480963;0.372664;5074982.319546;12429370.869519;234.042719;573.204707
ඇ;3463;155;139;2063.000000;977.000000;1215.000000;1169.000000;0.388293;0.183889;0.228684;0.220026;69.976032;59.754609;0.451458;0.429889;6355344.384771;9690532.884218;294.980013;449.781058
ඈ;3464;155;139;2063.000000;1092.000000;1215.000000;1142.000000;0.388293;0.205534;0.228684;0.214944;71.299165;59.731858;0.459995;0.429726;6395207.685776;10222519.676161;296.830248;474.472949
ඉ;3465;100;119;1324.000000;1392.000000;901.000000;1002.000000;0.448814;0.471864;0.305424;0.339661;50.624811;51.613769;0.506248;0.433729;5633824.964278;3077616.796709;473.430669;258.623260
ඊ;3466;95;135;913.000000;1202.000000;1099.000000;1216.000000;0.289933;0.381708;0.349000;0.386154;49.524379;71.473815;0.521309;0.529436;7672026.462528;3062264.867043;598.208691;238.773089
උ;3467;120;119;901.000000;792.000000;1271.000000;658.000000;0.254520;0.223729;0.359040;0.185876;49.784373;62.711209;0.414870;0.526985;5201041.924903;4270070.595527;364.218622;299.024552
ඌ;3468;183;113;1423.000000;1939.000000;1389.000000;993.000000;0.279239;0.380495;0.272567;0.194859;93.163997;52.104109;0.509093;0.461098;5475467.743036;19906399.514624;264.783971;962.638402
ඍ;3469;172;87;1507.000000;1304.000000;1791.000000;2100.000000;0.407518;0.352623;0.484316;0.567875;88.066995;47.919129;0.512017;0.550795;4597524.167711;18232118.919278;307.238985;1218.398752
ඎ;3470;176;66;1195.000000;942.000000;1335.000000;1826.000000;0.411501;0.324380;0.459711;0.628788;89.816157;37.174217;0.510319;0.563246;1934732.197999;14735138.936957;166.557524;1268.520914
ඏ;3471;127;87;1279.000000;1276.000000;1202.000000;1217.000000;0.472130;0.471023;0.443706;0.449243;62.941898;42.967431;0.495605;0.493879;3663854.723764;7191422.208484;331.600572;650.866342
ඐ;3472;177;74;1506.000000;1424.000000;1396.000000;1374.000000;0.462531;0.437346;0.428747;0.421990;87.873860;37.242105;0.496462;0.503272;2598745.894737;16372874.305088;198.407840;1250.028577
එ;3473;103;119;667.000000;1057.000000;1249.000000;1014.000000;0.221668;0.351279;0.415088;0.336989;51.398545;68.591673;0.499015;0.576401;4462731.243542;3361939.711563;364.096536;274.287322
ඒ;3474;118;135;738.000000;1569.000000;1564.000000;931.000000;0.186694;0.396914;0.395649;0.235517;59.525614;74.188463;0.504454;0.549544;7128330.440858;4989793.349438;447.478370;313.232476
ඓ;3475;177;96;655.000000;1174.000000;1753.000000;1489.000000;0.155066;0.277936;0.415009;0.352509;90.623151;58.533425;0.511995;0.609723;3007364.084401;13828214.842043;176.987058;813.807371
ඔ;3476;111;119;1023.000000;1071.000000;1427.000000;1416.000000;0.315254;0.330046;0.439753;0.436364;54.531294;67.662143;0.491273;0.568589;6135036.454527;4772567.415029;464.458813;361.311789
ඕ;3477;111;119;1274.000000;1444.000000;1427.000000;1402.000000;0.392604;0.444992;0.439753;0.432049;55.366144;62.906436;0.498794;0.528626;7133810.440238;5053373.361817;540.071954;382.570472
ඖ;3478;182;113;1699.000000;805.000000;2238.000000;2342.000000;0.333399;0.157967;0.439168;0.459576;87.315923;67.483060;0.479758;0.597195;6234678.967250;20898020.963862;303.154671;1016.144168
ක;3482;142;87;1420.000000;1482.000000;1486.000000;1245.000000;0.465116;0.485424;0.486734;0.407796;70.170779;42.875732;0.494160;0.492825;4273867.012604;9215949.710279;345.950058;745.989130
ඛ;3483;111;125;1148.000000;978.000000;1092.000000;1597.000000;0.336657;0.286804;0.320235;0.468328;56.631153;67.808930;0.510191;0.542471;5464182.215992;5236054.927103;393.814934;377.373328
