letter,relative_weight_I,relative_weight_II,relative_weight_III,relative_weight_IV,relative_center_x,relative_center_y,relative_inertia_x,relative_inertia_y
අ,0.3522267206477733,0.3603238866396761,0.16194331983805668,0.2550607287449393,0.5012186379928315,0.3740803621958121,0.30800088352145477,0.19498067906921207
ආ,0.3659147869674185,0.2832080200501253,0.23057644110275688,0.14536340852130325,0.4841075794621027,0.3741474713679063,0.1779857440584032,0.41547323070828285
ඇ,0.3659147869674185,0.16541353383458646,0.23057644110275688,0.22305764411027568,0.44965467102871687,0.43578411678050094,0.23623878939789197,0.3493441027668959
ඈ,0.3659147869674185,0.18295739348370926,0.23057644110275688,0.21804511278195488,0.4576453697056712,0.43705368950013224,0.23517622201053495,0.35927465665998304
ඉ,0.4519230769230769,0.5,0.27884615384615385,0.34615384615384615,0.5117260787992495,0.4206364329268293,0.28890434224510675,0.15390311008255814
ඊ,0.2631578947368421,0.3441295546558704,0.340080971659919,0.3765182186234818,0.5192895789226065,0.5498801553847426,0.42401921901763173,0.1656402775250311
උ,0.234375,0.25390625,0.36328125,0.16796875,0.41032088122605365,0.5191570881226054,0.4200160847435048,0.3441753773612552
ඌ,0.2668269230769231,0.38221153846153844,0.2620192307692308,0.19471153846153846,0.5160953177257525,0.4589673913043478,0.17818015944768628,0.650731435440125
ඍ,0.40625,0.3194444444444444,0.4548611111111111,0.5486111111111112,0.5130735708792618,0.5638204993888598,0.10630266424644472,0.4307207783084721
ඎ,0.37373737373737376,0.29797979797979796,0.46464646464646464,0.5934343434343434,0.5093318360471645,0.5804506505871152,0.0709551119585683,0.5775080620980474
ඏ,0.4362745098039216,0.44607843137254904,0.4411764705882353,0.45098039215686275,0.4956938576535586,0.511169829449916,0.1604545628552747,0.31352248352836976
ඐ,0.40229885057471265,0.3879310344827586,0.4109195402298851,0.40229885057471265,0.5033641451298497,0.5244662614929094,0.08856131299539508,0.5616159288769831
එ,0.19642857142857142,0.32142857142857145,0.45089285714285715,0.33035714285714285,0.501972763141148,0.5945017182130584,0.29679422320379095,0.21681279624266864
ඒ,0.1611842105263158,0.3881578947368421,0.35526315789473684,0.2236842105263158,0.5078352769679301,0.5627610117406036,0.35379945093879617,0.22557299524674465
ඓ,0.13125,0.24166666666666667,0.4041666666666667,0.3770833333333333,0.521179302045728,0.6291177797833934,0.1291147443157938,0.5924532650027621
ඔ,0.2833333333333333,0.3125,0.44166666666666665,0.4166666666666667,0.498567335243553,0.5815723495702005,0.28127029224168476,0.21051261947332064
ඕ,0.3416666666666667,0.42083333333333334,0.44166666666666665,0.4125,0.5071987202275151,0.5441365979381443,0.2594060249399294,0.17984170877740438
ඖ,0.2980769230769231,0.14423076923076922,0.4230769230769231,0.46875,0.48717948717948717,0.6125,0.13585650515380265,0.46614831047263444
ක,0.4166666666666667,0.45416666666666666,0.44166666666666665,0.37083333333333335,0.49866717440974867,0.5007533362031855,0.14502793055136312,0.31793395510147054
ඛ,0.3176470588235294,0.27058823529411763,0.3215686274509804,0.47843137254901963,0.5241574128190142,0.5518444666001994,0.24399173127621723,0.23306489105146713
ග,0.32222222222222224,0.4222222222222222,0.4888888888888889,0.28888888888888886,0.49119053611880187,0.5031735956839098,0.21017422539806843,0.312038691303761
ඝ,0.4388888888888889,0.43333333333333335,0.43333333333333335,0.46111111111111114,0.5087002096436058,0.5169537872573148,0.18340995014776065,0.2583495162175886
ඞ,0.325,0.22083333333333333,0.42083333333333334,0.4125,0.47160120845921455,0.5878021148036254,0.31515784871846864,0.25576387787228083
ඟ,0.45098039215686275,0.4166666666666667,0.49019607843137253,0.3284313725490196,0.4704897815362932,0.4950707785642062,0.16256742232602175,0.29918000046379545
ච,0.32589285714285715,0.18303571428571427,0.45089285714285715,0.33482142857142855,0.4497536945812808,0.5683189655172414,0.35621813112468736,0.23928639960637993
ඡ,0.21428571428571427,0.32142857142857145,0.42857142857142855,0.5401785714285714,0.4977744807121662,0.600333827893175,0.23222923106681104,0.193219024510727
ජ,0.21428571428571427,0.33035714285714285,0.42410714285714285,0.4017857142857143,0.49278734295020943,0.6045399022801303,0.25987968733318934,0.23259110258317378
ඣ,0.20535714285714285,0.23660714285714285,0.46875,0.41294642857142855,0.4885870874488075,0.6371205733558178,0.15061835119707812,0.44995655424589176
ඤ,0.3618421052631579,0.3355263157894737,0.19078947368421054,0.2719298245614035,0.49562854442344045,0.3800643743932969,0.16874918757031954,0.3933508988485895
ට,0.22321428571428573,0.19642857142857142,0.34375,0.34375,0.49467165898617516,0.5943800403225806,0.4619683141510861,0.3187675572110703
ඨ,0.06666666666666667,0.29583333333333334,0.39166666666666666,0.38333333333333336,0.5423771630668182,0.6589972527472527,0.32180614404983376,0.30280751642905973
ඩ,0.2916666666666667,0.19583333333333333,0.4625,0.4041666666666667,0.47435897435897434,0.595,0.3214057278106509,0.2563189804278561
ඪ,0.18333333333333332,0.29583333333333334,0.4625,0.4166666666666667,0.5080777096114519,0.6219325153374233,0.25814726651083497,0.24949994192687763
ණ,0.21333333333333335,0.224,0.38666666666666666,0.4613333333333333,0.5343382166144466,0.5916440120188868,0.12665939204520582,0.3579653140009577
ඬ,0.3333333333333333,0.21666666666666667,0.5541666666666667,0.4166666666666667,0.45007085498346716,0.5905821917808219,0.2628129053486095,0.21461445643763646
ත,0.4411764705882353,0.44607843137254904,0.35784313725490197,0.37745098039215685,0.5064542708047239,0.48233285170103773,0.17980939090312387,0.2934048989966576
ථ,0.10833333333333334,0.30833333333333335,0.325,0.31666666666666665,0.5351615530817269,0.6135580708661418,0.3687604442138023,0.3162223568541623
ද,0.4269005847953216,0.24561403508771928,0.14619883040935672,0.4327485380116959,0.5062305295950156,0.4539025006314726,0.5458326768937912,0.12418788564972828
ධ,0.18333333333333332,0.1875,0.39166666666666666,0.36666666666666664,0.49904568011197353,0.6282287822878229,0.42500928651666137,0.32449915490562986
න,0.39166666666666666,0.44583333333333336,0.4,0.2791666666666667,0.48811813186813185,0.47969421882465363,0.16628127940167572,0.3982669474740935
ඳ,0.4605263157894737,0.25,0.13596491228070176,0.34210526315789475,0.4930210171666934,0.4056048668594794,0.41843092060092274,0.19009500861474224
ප,0.46153846153846156,0.4551282051282051,0.4358974358974359,0.44871794871794873,0.49630440733643577,0.514931146526381,0.2190842355122746,0.24232729694343008
ඵ,0.23076923076923078,0.34615384615384615,0.4423076923076923,0.36538461538461536,0.4879807692307692,0.5977647569444444,0.3024962206763331,0.22511423369984568
බ,0.2791666666666667,0.25416666666666665,0.375,0.5166666666666667,0.5203670094777173,0.575749269005848,0.25065424739076025,0.24500008599637102
භ,0.4322916666666667,0.4270833333333333,0.4375,0.3072916666666667,0.4869082530372853,0.4816487859966121,0.18536146346485372,0.2874459171078542
ම,0.30833333333333335,0.2875,0.4083333333333333,0.37916666666666665,0.4840049854590777,0.5600527108433735,0.2812632807321607,0.2139785007354136
ඹ,0.2875,0.3125,0.42916666666666664,0.43333333333333335,0.5025051576775714,0.5740740740740741,0.26915245697560813,0.21546819778976978
ය,0.15,0.43333333333333335,0.46111111111111114,0.46111111111111114,0.5389998727573483,0.5905663404460132,0.20133007337616862,0.29750547556536955
ර,0.11312217194570136,0.29411764705882354,0.3438914027149321,0.39819004524886875,0.5339188370684433,0.622405153901217,0.3586878650135254,0.23390254654525064
ල,0.25390625,0.40625,0.375,0.171875,0.46076051779935273,0.4923139158576052,0.3411496260341396,0.3598915238528791
ව,0.35267857142857145,0.17410714285714285,0.42857142857142855,0.3125,0.42996870109546165,0.5700924295774648,0.37376309159260207,0.24644931805672352
