rank,energy,t_start_sec,t_end_sec,f_start_hz,f_end_hz
1,0.0009999850440181035,18.8,18.900000000000002,4005.0,4050.0
2,0.0009181381592497928,2.3000000000000003,2.4000000000000004,4005.0,4050.0
3,0.0008631811642771936,18.8,18.900000000000002,4770.0,4815.0
4,0.00080803141281649,18.8,18.900000000000002,3960.0,4005.0
5,0.0007335129994316958,13.8,13.9,4680.0,4725.0
6,0.0007035104536043946,2.3000000000000003,2.4000000000000004,4770.0,4815.0
7,0.0007033196270640474,6.4,6.5,4770.0,4815.0
8,0.0006869809549243655,5.300000000000001,5.4,4680.0,4725.0
9,0.0006764466379536316,6.4,6.5,4680.0,4725.0
10,0.0006728264298381248,3.1,3.2,4950.0,4995.0
